Speaker_1,Speaker_2
옷샀는데 사이즈가 작다ㅜㅜ,악 어떡해 안입어보고 샀어? 큰사이즈로 교환하자
신림역 사건 개무서워..,ㅇㅈ.. 피해자 가족들 너무 힘들거같아 
진짜 안타까운거같아,맞아 너무 끔찍해ㅠㅠ
다음주에 약속있음?,나 다음주에 바쁠거같아 ㅜㅜ 근데 왜?? 요번주는 시간널널한데
나랑 놀래?,좋아 재밌겠다!
그럼 이번주에 놀래?,좋아! 
없어 왜?,나랑 놀래?
잠이안와,난 그럴때 따듯한 우유나 클래식음악 들으면 잠오던데 한번 해보는게 어때?
요새 툭하면 화가남,왜그랭 ㅜㅜ 화풀어 짜증나는 일있으면 나랑 만날래?ㅋㅋ
나랑 만날래?,좋아!
ㅇㅇ 지금,그래!!
머리카락 왕창 빠지네 큰일났다,ㅋㅋㅋ대머리되는거 시간문제 ㅅㄱㅋㅋ 스트레스를 줄여 그럼 덜빠질듯?ㅋㅋ
바다가고싶다,나랑같이가자 나도 바다가고싶음 ㅜ
이번 주말에 갈 수 있으면 좋겠다 ,진짜 좋겠다! 나랑 같이 갈래?
동해 가면 좋긴 한데 멀어서 고민중 ,이왕 가는거 예쁜곳으로 가자
요번달 생활비 너무 부족해,돈빌려줄까? 힘들겠다 ㅜㅜ 근데 나도 많이는 못줘
해야할게 많은데 놀고싶어 ㅋㅋ,ㅇㅈㅋㅋ 원래 할거 많으면 놀고싶어지는 법 ㅋㅋ좀만 놀자
쇼핑을 좀 많이 했어ㅋㅋㅋ,앜ㅋㅋ 좋았겠다! 근데 이제 고통스럽기..
나 신발샀어!,뭔데? 예뻐??
나이키 점보,와 검색해봤어 예쁘다!
너 고양이 좋아해?,응 너무 귀여워
나 고양이 키운다,완전 부러워!!
우리집 고양이 살이 많이찐거같아,뚱냥이 뭐야ㅋㅋ 귀엽다 같이 산책하는것도 좋을듯
운동을 싫어해 ,ㅋㅋㅋㅋ그것조차 귀엽다 
그래도 귀여워,맞아 귀여운게 최고야 
빨리 겨울이 왔으면 좋겠다 ,난 여름이 좋은데 겨울도 좋아! 눈사람 만들고싶다 ㅋㅋ
왜 겨울이 왔으면 좋겠어?,겨울 분위기도 좋고 눈오는게 좋아서!
너무 더워서,그러네ㅜㅜ 오늘 유난히 덥지?
근데 에어컨 틀면 추워,덥고 춥고 그러면 냉방병 걸리는데!! 
키보드 바꿔야겠다 잘안눌려 아오,무슨색으로 살꺼야?? 난 밝은계열이 좋더라 소리도 안시끄러운게 좋아
키보드 추천좀,나는 솔직히 키감만 좋으면돼서ㅎㅎ 성능은 잘 몰라!
강사님 뭐쓰는지 알아?,기억이 안나!ㅋㅋㅋ
무슨 색으로 살거야?,밝은 계열이 좋아서 노란색 살지 생각중이야
술 너무많이 먹은듯 담달은 안먹는다,난 술 잘못마셔서 너처럼 잘마시는 사람보면 부럽더라 ㅋㅋㅋ 그래도 술좀 줄여!!
아침부터 삼겹살 먹으면 어때?,아침부터 삼겹살먹으면 너무 기름져 난 아침에 고기 잘안먹어 ㅋㅋ
취미생활좀 해볼까 ,운동어때? 나도 이번여름에 살찐거 느껴져서 좀하려고..
취미생활은 갑자기왜?,뭔가 집에만 있으니까 사람이 게을러지는거 같아서... 
운동 어때?,벌써 몸 건강해지는거같아!
결혼해야할 나이가 슬슬 된거같아 근데 여친없음..,나이가 뭐가 중요해! 마음 맞는사람 만나면 그때 신중하게 생각해서 결혼하자!
금연해볼까 생각함,빨리끊자! 냄새도 안나고 몸도 건강해질거야
근데 힘들까봐,힘든건 싫긴하지ㅜ
눈에 다래끼나서 힘들어 ㅜㅜ,다래끼나면 진짜불편해 심하게나면 보기도안좋고 병원같이가줄까?
친구 장례식장 다녀왔는데 좀 우울하네,헐 괜찮아?? ㅜㅜ 힘들겠다 나도 작년에 친척분 돌아가셨는데 우울했어
아 무좀걸린거같아,아 ㅋㅋ 더러워 무좀 전염성있다 저리가 ㅋㅋㅋ
나 좋은일 생김ㅋㅋ,밥이나 사주고 말해 자랑하지마 ㅋㅋㅋ 무슨일이야??
노래방가고싶다,나도 노래방가고싶다 안간지 오래됬어 시간되면 같이가자
노래 뭐 불러?,나는 기분에 따라 달라!! 오늘은 그래도 신나는거 부르고 싶어!
야호,뭐야?? 무슨 좋은 일 있어??
김치찌게 잘하는 방법 알아?,난 요리 잘못해 ㅋㅋ 엄마가 해주는게 제일 맛있어 엄마찬스 고고
월급 언제나오냐 ㅜㅜ,나도 요번달 과소비해서 허리띠 졸라매고 버티는중ㅋㅋ
월급날 언젠데?,이미 지났는데 아직도 들어오지 않았어 ㅠㅠㅠ
군대가야된다,나는 군대안가지롱ㅋㅋ 미안 그래도 군인분들이 고생해주셔서 감사해..
한살한살 먹는게 무서워,짜증나.. 항상 어리고싶다 ㅜㅜㅜㅜ
나 우울해서 화분 샀어,왜 우울해? 무슨일 있어?
선인장!,선인장 좋아해?
ㅋㅋ맞아 그냥 멋있게 생겨서 사봤어,헉 나도 보고싶다! 
그래 이따 보여줄게,좋아!
근데 나 우울하다니까?,무슨일 있었어? 왜 우울해
응 친구랑 다퉈서 속상했어ㅜㅜ,어떡해ㅜㅜ 기분전환이 필요했구나!
맞아 뭐라도 사고싶었어,나도 속상할때 뭔가 사면 기분 나아지긴 하더라
근데 아직도 속상하다,에구ㅠ 친구랑 대화는 해봤어?
아직 안해봤어!,그럼 지금 대화해보자!
나 우울해서 염색했어,너 왜 우울한데? 무슨일 있어?
나 힘들게 해서 아이패드 샀어,오오..힘들게 열심히 알바했구나!
너 적성에 안맞으니 그만둬,그래도 그렇게 말하면 상처받잖아. 너무 싫어.
내가 다른 사람들보다 발전이 느린가?,발전이 느리더라도 발전 후의 너는 누구보다 뛰어날껄!!
나 시험 떨어졌어,열심히 했는데 속상하겠다
몇 점인데?,기분이 별로여서 말해주기 싫다... ㅠ
우리 헤어져,내가 잘못했어 다시 잘해보자
헤어지는 이유가 뭔데?,그것도 몰라?
나 목이 너무 아파,괜찮아? 약 사다줄까?
무슨 목? ,목이 너무 따가워 ㅠㅠㅠ
우울해서 쇼핑했어,무슨일 있어? 왜 그래?
우울해? 무슨일 있어?,그냥.. 요새 좀 힘들어 ㅠㅠ
늦어서 미안해,괜찮아 다음부턴 늦지마!
나 지금 우는중 ㅠ,괜찮아? 무슨일 있어?
왜 울어?,사는게 힘들다 보니까 눈물이 나왔어 ㅠㅠ
나 교통사고 났어,어디 안다쳤어? 놀랐겠다 괜찮아?
차는 괜찮아?, 왜 내 걱정은 안해줘?
지금 차가 중요해?,너가 더 중요하지~
쟤가 널 싫어한대,나를 왜? 개짜증나ㅜ 나도 싫어!
스트레스 받아. 술먹자,왜 또 무슨일이야ㅠㅠ
감기,약 먹었어? 좀 쉬어야겠
나 스마튼폰 떨어트렸어,액정 깨짐? 괜찮아?
액정 깨졌어?,깨진거 같아... ㅠㅠ
너가 좋아할 것 같은 맛이라 샀어,헐.. 내 생각 해준거야?? 감동이야
스트레스 받아. 맛집 가자,무슨일 있었어?
시험에서 떨어졌어,괜찮아? 마음이 안좋겠다
다음 시험 언젠데?,아마.. 다음주일꺼야..
나 헤어졌어,괜찮아..? 어쩌다 헤어졌는데..?
누가 찼는데?,내가..
괜찮아..? 어쩌다 헤어졌는데..?,서로 안맞아서 말싸움하다가.. 헤어졌어
너 힘들어 보여서 케이크 사왔어,고마워 감동이야ㅠㅠ
무슨 케익?,너가 평소에 좋아하는거!
난 니가 그냥 좋아,헐 나도 좋아!
어제 너무 늦게 자서 피곤해ㅠ,피곤하겠다 좀 쉬어!
나 알바 그만뒀어,왜? 사장님이랑 싸움?
우리 동아리 자리 한 명 남았는데 들어올래?,좀 더 고민해 볼게!
나 오늘 이사했는데 문 닫으면 페인트 냄새때문에 머리가 깨질것 같고 문 열면 매연 때문에 죽을 것 같음 ㅠㅠ,괜찮아?머리 많이 아프겠다.. 둘 다 몸에 안좋은데.. 
너 맨날 놀았는데도 성적 잘 나왔네!!,맨날 놀지 않고 열심히한건데..
나 시험 망쳤어!!,어떡해ㅠㅠ속상하겠다
너랑 나랑 안 맞는듯,...마상
나 힘들게 돈 모아서 노트북 샀어,고생했네 얼마나 오래 모은거야??
얼마나 모았어?,자세히 세지는 않았지만 아마 100만원 정도?
얼마나 오래 모은거야?,거의 한달동안 모은거 같아
나 감기걸린거 같아,헐 힘들겠다ㅠㅠ약은 먹었어?
나 살쪘지?,아니!! 지금 너무 예뻐!
몇키론데? ,어차피 가벼운데 뭐하러 물어봐~
나 어제 공포영화 봤어,헉 공포영화 무섭잖아..
달이 떴다고 전화를 주시다니오,달을 보고 내 생각이 나서 전화를 하다니 너무 로맨틱한 사람..
슬픔을 나누면,반이 된
걔가 너랑 놀면 노잼이래,진짜????
추운데 나 혼자 갔다올게 넌 여기 있어,같이 가면 따듯하잖아!
어 근데 이거 좀 달다,완전 맛있는데?? 달달한거 먹고싶었어! 
이러면 너 다 안좋아해!,그런가? 내가 좀 이상했나?
나 여기 다쳤어,괜찮아? 아프겠다
어쩌다 다친거야?,보드 타다가 넘어졌어.. ㅠ
나 시험 합격했어!!,와 진짜 축하해!!!잘 돼서 좋다!
나 핸드폰 잃어버렸어,너가 아끼던거였는데..어떡해
마지막으로 어디서 봤는데?,모르겠어.. ㅠㅠ
취춘생이라 힘들다ㅠ,많이 힘들지ㅠㅠ올해 안에 성공할거야!
날 짜증나게 하는 사람이 있어,어떤게 짜증나게 했어?
요즘 무슨 고민있어? 이거 먹고 힘내,헐 고마워ㅠㅠ진짜 감동이야
나 힘들어보였어? ,응.. 뭐 안좋은 있는거야..?
나 이거 샀어!!!,진짜 이쁘다! 어디서 샀어?
나 오늘 늦잠자서 드라이샴푸 했어ㅠ,피곤했구나ㅠ
나 우울해서 머리 염색했어!,진짜? 괜찮아? 뭐때문에?
나 우울해서 머리 잘랐어!,왜 우울해ㅠㅠ?
왜 나를 사랑해?,일단 너무 귀엽고 사랑스러워!
달이 떴다고 전화를 주시다니오,달은 매일 뜨는건데 그걸 보고 날 생각해주다니 감동이야ㅠㅠ
나 어제 남친이랑 싸워서 울었어,헐 얼마나 속상했으면 울었어ㅠ
나 목이 아파,감기? 병원 가봤어?? 약은 먹었고?
약은 먹었어?,병원 갔다와서 처방 받은거 먹었어.. 
왜 이렇게 늦게 왔어?,진짜 미안해ㅠㅠ앞으로는 안늦을게!
내 방에서 바퀴벌레 나왔어ㅠ,헐 ㅠㅠ소름 너 괜찮아?
발표 준비 안한거 같았는데 잘 했다!,나 발표 준비 많이 한건데ㅠㅠ
나 우울해서 옷 샀어, 왜 우울했는데?옷 이쁘다!
나 우울해서 혼자 영화봤어,왜 뭐 때문에 우울해ㅠ? 혼자 힘들지 말고 나눠 
영화 재미있었어?,지금 영화가 중요해??
이제 봄이다!,날씨 너무 좋당
무거운걸 오래 들었더니 팔아파 ㅠㅠ,무겁지?
나 요즘 위가 아파..,스트레스 많이 받았어?? 병원 가봤어?
심리'라는 단어를 표현하는 신체부위,"심장, 마음"
나 차 사고 났어,괜찮아ㅠㅠㅠㅠㅠ? 무슨일이야!!!! 안 다쳤어??ㅠㅠㅠ
취업이 힘들어,힘들지ㅠㅠ
나 시험에 떨어졌어,다음엔 꼭 붙을거야!
달이 떴다고 전화를 주시다니요,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ감동적이야 으앙ㅠㅠ 사랑해
누군가가 나 싫어하는거 같아,나를 왜 싫어하지? 내가 기분나쁘게 한 적이 있나?
우리 헤어져,내가 잘못했어 다시 잘해보자
나 목이 너무 아파,괜찮아? 약 좀 사다줄까?
우울해서 쇼핑했어,무슨일 있었어? 갑자기 왜 그래?
나 물건 놓고 왔어,같이 가자 그래야 안심심 하니까
나 배탈 난거 같아,어떡해? 병원 갈까?
슬픔을 나누면,반이 된다
나 지금 이거 먹고 있는데 너가 좋아할 것 같은 맛이야,진짜? 나중에 먹어봐야지! 궁금해
나 살쪘지?,뭔소리야 짜증나게 하지마 너무 예쁜데 무슨소리야
걔가 너랑 놀면 노잼이래,진짜? 너무해ㅜㅜ
나 힘들게 돈 모아서 노트북 샀어,고생했네 얼마나 오래 모은거야?
누가 너 욕을 뒤에서 했어,신경 쓰이는데 왜 그렇대?
너를 위해 단 쿠키를 준비했어,감동이야ㅠㅠㅠㅠ
피곤해서 드라이 샴푸 했어,많이 피곤해? 무슨일 있어?
추운데 물건 가지러 가야하는데 어떻게할까,같이가면 마음이 따뜻하잖아 같아가자!
나 우울해서 머리 염색했어,진짜? 괜찮아? 무슨색으로?
우울한데 왜 머리를 염색해?,뭔가 기분전환으로 하면 기분이 좀 괜찮아질꺼 같아서 해봤어..
저 이거 ppt 끝냈습니다,"열심히 했군, 수고했어~"
이렇게 하면 더 좋겠군 ,넵! 알겠습니다! 바로 수정하고 보내드리겠습니다!
고생 많았어요! 잘하셨는데 이 부분은 수정 해주실래요,넵! 알겠습니다! 바로 수정하고 보내드리겠습니다!
넌 대충대충 하는거같은데 왜 이렇게 결과물이 좋아?,엄청 열심히 했는데 뭔소리야ㅠㅠ
이해가 안가는 문제가 생겼을때,이해가 안되는데 공감은 가네
넌 제대로 아는게 없는데 아는척은 엄청 해,나 상처받음
나 요즘 식욕이 없어,어떻게 해..건강이 제일 중요해!
나 요즘 기분이 안좋아,무슨일 있었어? 다 말해봐
잠이 안와,피곤하겠다. 요새 스트레스 받는 일 있어?
오늘 시험 망쳤어,아 그럴수 있어 다음에는 더 잘할거야
회사에서 실수 했어,힘들었겠다 다음에는 더 잘할 수 있을꺼야!
어떤 실수를 했는데?,속상해서 말 못하겠어ㅜ
나 오늘 집에 늦게 들어갈 것 같아,"조심히 돌아가, 너무 늦지않게"
나 요즘 공부에 집중이 안돼,공부하다 지치면 잠시 쉬어도 돼. 건강이 최우선이야.
나 요즘 친구들과 관계가 복잡해,괜찮아질거야. 들어줄게 말해봐
여행 계획 중인데 어디가 좋을까?,와 부럽다 여행은 언제 가려고?
여행 언제 가려고?,주말에 가려고 ㅎㅎ
오늘 일이 많아서 힘들었어,"힘들었겠다, 너무 고생했어"
로봇이 탑을 방금 만들었는데 부수라고 명령을 받음,아니 만들래놓고 왜 부수래 로봇 불쌍해
나 너가 좋아,고마워
콜라가 좋아 사이다가 좋아,나는 콜라가 더 좋아
나 치킨 먹었어,맛있겠다!
나 오늘 너무 우울해서 치킨 조졌는데 존맛이다,왜 우울했어?
무슨 치킨이야?,우리 집앞에 통닭집 생겼어 나중에 먹어봐 ㅎㅎ
스트레스 받아 술먹자,왜 또 무슨일이야ㅠㅠ
잠시 생각해볼게,거절의 의미가 있음
나 스마트폰 떨어트렸어,액정깨짐? 괜찮아?
오늘 저녁에 뭐하는지 왜 물어봐?,시간되는지 물어볼려고
나 알바 그만뒀어,왜? 사장님이랑 싸움?
다른 자리 구함?,아직 그건 아냐ㅜㅜ
고민 상담할 때,최대한 들어주려고 함
나 헤어스타일이 어때?(어울리지 않을때),겉으로는 괜찮은 것 같아
경기에서 패배하였습니다,패배할 수도 있고 너무 신경쓰지말고 힘내자
죄송합니다 냄비가 무거워서,무거워? 힘들겠다..
우리 동아리 자리 한명 남았는데 들어올래?,좀 더 생각해볼게
문 닫으면 페인트 냄새때문에 머리 안좋아지고 열면 매연때문에 죽을것같다,괜찮아? 머리 많이 아프겠다 둘다 몸에 안좋은데
나 합격했어,너무 축하해! 잘되서 기쁘다.
나 무릎을 삐끗했어,괜찮아? 아프겠다ㅜㅜ
병원은 가봤고?,아직ㅜㅜ 너무 아파ㅜㅜ
나 핸드폰 잃어버렸어,너가 너무 아끼는건데.. 어떡해ㅜ
뉴스를 보는데 생각이 너무나 다른거같다,다른의견으로 대화하면 감정이 상할수 있으니 말 안하는게 나을거같아
친구가 나를 위해서 착한 거짓말을 했어,그래도 나를 위해서 그런거니까
컴퓨터가 고장났어,어떻게해ㅜㅜ 컴퓨터 비싼데
오늘 시간 있어?,오늘은 바쁘고 내일 가능?? 오늘은 피곤해 ㅜㅜ
아 담배피고싶다,왜? 기분 안좋아?
삼겹살이랑 오겹살이랑 뭐가 좋아?,둘이 뭐가다른지 나는 잘모르겠어 ㅋㅋㅋ
키 180 되면좋겠다 ㅜㅜ,나도 키 더 크고싶다! 어릴때 우유좀 많이마실걸
어질어질하네,ㅋㅋㅋ 갑자기 뭐야 아픈거면 병원가봐야할듯??
오늘 좋은꿈꿨어 ㅋㅋ,좋은일 있었어?
꿈 내용 뭔데?,해몽 보니까 좋은일이 생길거같다!
아이스크림 먹고싶다 너무더워,맞아 진짜덥지 
요세 배달비 너무비싸 뭐 시켜먹기 무서워;,맞아.. 나도 배달이나할까 ㅋㅋㅋ 코로나 엄청심했을때 돈 많이벌었다더라
똥마려워 근데 밖임 하;;,어떡해 ㅠㅠㅠ
어제 술마시고 핸드폰잃어버렸어,나도 잃어버림 ㅋㅋ
엄마가 툭하면 잔소리함 아오,널 사랑해서 하시는 말일꺼야
집에 반찬 다떨어졌다,배달이라도 해서 먹는게 어때?
요즘 문신한사람 너무 많이보여 나도 하나할까?,난 별로 추천하지는 않아..
도라에몽 너무  재밌어 ㅋㅋ,도라에몽 좋아하는구나 추억이다 ㅎㅎ
이어폰 물들어가서 한쪽 안들려 ㅜㅜ,짜증나겠다ㅠㅠ 물기 닦아도 안들려? ㅠㅠ
코로나 걸리고 나서 냄세가 잘 안나,괜찮아?
돈좀 모이니까 뭔가 사고싶다,난 그냥 돈이 많았으면 좋겠어 ㅠㅠ
어제 우리 너무 많이먹었다 살1키로는 찐거같아,그런 말 하지마 ㅠㅠ
하늘에서 음식이 떨어지면 어떨까,영화 같다 ㅎㅎ
요세 티비에 볼게없어,나도 그래서 유튜브만 봐 ㅠ
좀비가 나타나면 뭐할거임?,영화 찍는거지
요세 예쁜여자가 너무많아 ㅋㅋ,그런가? 난 잘 모르겠는디..
사자랑 호랑이랑 싸우면 누가이김?,사자가 이기지 않을까?
A형은 소심하고 B형은 바람둥이래 ㅋㅋ ,그거 다 미신이야 너무 믿지는마..
요세 동내에 무서운 들개가 돌아다님 맨날 돌아서집감;;,매일 돌아서 가려면 시간 너무 많이 걸리겠다ㅠㅠ
나 스피또샀다,당첨되면 좋겠다!
요즘 가는 겜방 랙많이걸려,맞아.. 그래서 난 그냥 집에서 하고 있어
넌 오징어가 좋냐 문어가 좋냐,난 오징어 좋아하는데 그중에서 몸통이 좋더라 ㅎㅎ
돈많은사람vs착한사람 너의 배우자는 어느쪽이야,돈 많고 착하고 예쁜사람이야 ㅎㅎㅎㅎ
어지럽네,많이 힘들어?
옆집아줌마가 맛없는 반찬 맨날 선물로 주는데 처리하기 힘드네,어머니한테 반찬받는다고 하고 거절하는게 어떨까?
우리 고등학교때 맨날 가던 떡볶이집 망했데,왜 ㅠㅠㅠ
노래 가사가 생각이 안나,무슨 노래인데?
무슨  노래인데?,지금 생각이 안나서 나중에 얘기해 줄게!
요세 만화 재밌는거 추천좀 애니메이션 말하는거야,너 맨날 추천해주면 재미없다고 하잖아 ㅠ
귀지 팠더니 엄청많이나왔다,드러워
친구가 맨날 돈빌려달라고 하는데 짜증난다,그냥 피하는게 어때?
그냥 피하는게 어때?,그렇게 해볼게...
휴일날 뭐해?,글쎄.. 잘 모르겠다..
이번 프로젝트 너무 힘들어...,그래도 힘내보자..
좀 배고프네...,뭐라도 먹는게 어때?
핸드폰 떨어뜨려서 액정이 나갔어,에구.. ㅠㅠ 수리점 가봤어?
노래방가서 노래 너무 열심히 불렀더니 피나와,되게 열심히 불렀나 보다 ㅋㅋㅋ
이번주에 로또 5천원어치 샀다,당첨 되었어?
여자친구 만드는 방법좀,나도 생겼음 좋겠어 ㅠㅠ
눈꽃이 날리네,예쁘다
나 감성캠핑 갈려고 캠핑용품 플렉스 했어,너무 예쁘다! 세트로 사니까 딱이네
언제 샀어?,어제 샀어! 너도 캠핑 좋아해?
봄이 왔구나,이제 봄이다 벚꽃 보러 가야지
사랑해,나도 사랑해!
너 적성에 안맞으니 그만둬,그래도 그렇게 말하면 상처받잖아. 너무 싫어 그런 말
자기야 스트레스 받아 맛집가자,무슨일 있었어?
나 여자친구랑 헤어졌어,연락은 받아? 그래 이럴때 울자
누가 먼저 헤어지자고 했어?,전애인이 ㅠㅠ 나한테 이럴수가 있나?
과자 뭐 먹을까,오레오 어때? 새로운 거 나왔더라
신이 실존한다고 생각해?,응 난 기독교라서 믿고 있어
음료수 뭐 마실껀지 추천좀,펩시 콜라 어때?
밥 뭐먹을까요? 한식? 중식? 일식?,깔끔한 일식 어때요?
A4로 해당 문서를 출력해야하는데 프린터가 없다,프린트 해주는데 찾았는데 함 가보자
어떤 아이스크림 먹을까,어떤 선택지가 있는데?
입술이 텄네,아이고 어쩌다가? 많이 텄어?
코털이 너무 길어 자르는 것이 어떨까,조심해서 잘라!
파일 정리는 해야하지 않겠니,얼른 할께요
오늘 회식하느라 늦게 들어왔어,힘들겠다.. 빨리 자
애완동물에 대해서 어떻게 생각해?,너무 외로우면 키워보는게 좋겠지만 막중한 책임감을 가지고 키워야 할꺼 같아
시간이 너무 빨리 간다,그러게 진짜 빨리 간다
거의 항상 잠이 오는거 같아,좀 자는게 어때? 피로를 푸는게 좋을거같아
청소기좀 밀어줘,청소기 돌리는거 많이 힘들어?
초콜릿을 박스채로 샀는데 너무 많이 산거 아님?,주변 사람들하고 나눠 먹으면 되지~
키보드 고장나서 결국 보조 키보드 하나 샀다,어쩌다가 고장났을까.. 키보드 예쁜거 샀어?
어느 정도로 고장났는데?,쉬프트키가 잘 안눌리는거같아 
옷이 너무 더러운 것 같다,세탁 자주 돌려야대..
재활용쓰레기 버리기 싫다,그래도 방치하면 냄새가 너무 나니까 해야지 ㅠㅠ
프로게이머의 삶은 어떤 삶일까,그 사람들도 나름대로 힘들지 않을까?
우리 몸 속에 칩을 이식한다면?,난 조금 무서운거 같애.. 넌 어때?
미래 사회는 어떤 세상일까?,지금보다 더 편리할꺼 같애.. 좋은것만 있으면 좋겠다
20년 뒤의 내 모습은 어떤 모습일까,지금보다 행복했음 좋겠다
전기가 없었다면 어떤 세상이였을까,글쎄.. 한번도 생각 안해봐서 모르겠다...
만약 인류가 소멸된다면 어떻게 될까,글쎄.. 한번도 생각 안해봐서 모르겠다...
지구가 아프다고 말하는데 사실 이게 진짜로 아픈걸까?,지구가 아프지 않게 노력해보자ㅜ!!
컴퓨터가 없으면 우리 삶은 어떤 삶을 살고 있을까,글쎄.. 한번도 생각 안해봐서 모르겠다...
우리나라는 사계절인데 왜 사계절일까,4개의 날씨가 있어서 그런거 같애
러시아 우크라이나 전쟁 때문에 곡물값이 너무 비싸다,전쟁이 빨리 끝나서 더 이상 사람들이 안슬펐으면 좋겠어
물가 엄청 올랐어,그러게.. 예전에 비해 너무 많이 오르는 거 같아
우리나라 화폐가 기축통화라면 어떨까,지금보다 외화는 더 벌 수 있지 않을까?
사실 우리가 보고 있는 세상이 우물안의 세상이라면,오 철학적이당
학원하고 집하고 너무 멀다,자취해보는거 어때?
자취해보는거 어때?,혼자 사는건 외롭고 위험해 
회식은 왜 하는걸까,너무 힘드니까 그런거 아닐까?
너무 힘드니까 회식 하는거 아닐까?,그렇긴 해 나도 너무 힘든데ㅜㅜ 
몸하고 정신에 안좋은 마약은 왜 생겨났을까,현실을 회피하고 싶어서 그런거 같애..
로또가 됐다고 해서 행복할까,돈이 많으면 난 행복할꺼 같은데 넌 어떻게 생각해?
돈이 많다고 무조건 행복한 것은 아니라고 하는데 왜 그럴까,사람마다 가치관의 차이가 있어서 그런거 같애
오늘 저녁은 아웃백 가고싶어,아웃백 !! 맛있겠다
결혼은 왜 해야하는건지 모르겠어,힘들거나 외로울때 누군가가 옆에 있으면 좋아서 그런게 아닐까?
우리나라 사람의 삶은 예전보다 윤택해졌는데 왜 만족하지 못할까?,사람마다 가치관의 차이가 있어서 그런거 같아!
코로나가 세상을 급격하게 바꾼것이 맞다고 생각해?,조금 바뀐거 같긴 한데 잘 모르겠어...
세상이 급격하게 발전하고 있고 현재진행형인데 나는 잘 모르겠어,나도 모르겠어... 한번도 생각을 안 해봤네..
너가 세상에 관심이 없는게 아닐까?,그거에 대해선 주관적이라 잘 모르겠어!
귀가 가려워,귀가 가려울때는 긁어보는게 어때? ㅋㅋ
코에 모공이 너무 많이 나,내가 화장품 추천해줄까? 
털은 왜 나는 걸까,털이 많아서 스트레스 받아??
인간이 밥을 안먹고 사는 세상이 올까?,그럼 밥 대신 뭘 먹을까?
물 마시기도 귀찮을 때도 있다,그래도 살기 위해선 물을 마셔야 할꺼 같애 ㅠㅠ
병원 갔다왔는데 힘들다 내시경 하지마라,아 진짜??? 그렇게 힘들어?
우리가 사는 동안 세상이 정상적으로 돌아갈까?,글쎄 챗바퀴 굴러가듯이 굴러가지 않을까?
유행인 것은 이유가 있을까?,난 그 기준을 잘 모르겠어...
출근하는데 졸린데 지하철 소리가 너무 시끄럽다,시끄러울때는 노래를 들어보는게 어때?
스마트폰은 왜 개발되었을까?,사람들이 좀 더 효율적인걸 원해서 그런게 아닐까?
사람은 간사하다고 생각해?,사람마다 기준이 다르지만... 간사한 사람이 좀 많은거 같애...
타임머신이 언젠가 만들어질까?,언젠간 만들어지지 않을까? 그럼 좋겠다ㅋㅋㅋ 
